date,sport,game,team,odds,win_probability,expected_value,result,final_score,payout
2025-12-22,NBA,MIL @ IND,IND,-6,16.0%,182.3%,PENDING,,
2025-12-22,NFL,NEW @ LAS,NEW,-35,32.9%,26.7%,PENDING,,
2025-12-22,NHL,ST  @ TAM,ST ,1140,9.8%,21.2%,PENDING,,
2025-12-22,NFL,NEW @ NEW,NEW,622,16.8%,21.0%,PENDING,,
2025-12-22,NFL,DEN @ KAN,KAN,606,17.0%,20.2%,PENDING,,
2025-12-22,NCAAF,WES @ SOU,SOU,-53,41.1%,18.8%,PENDING,,
2025-12-22,NCAAF,CAL @ HAW,HAW,-117,61.3%,13.7%,LOSS,0-0,-1.00
2025-12-22,NBA,MEM @ OKC,MEM,713,13.6%,10.7%,WIN,0-0,+7.13
2025-12-22,NFL,LOS @ ATL,ATL,336,24.8%,8.0%,PENDING,,
2025-12-22,NBA,DET @ SAC,SAC,305,26.5%,7.2%,PENDING,,
2025-12-22,NBA,UTA @ DEN,UTA,522,17.0%,5.5%,PENDING,,
2025-12-22,NFL,SEA @ CAR,CAR,276,28.1%,5.5%,PENDING,,
2025-12-22,NCAAF,PIT @ EAS,EAS,270,28.5%,5.4%,PENDING,,
2025-12-22,NCAAF,NEB @ UTA,NEB,496,17.6%,4.8%,PENDING,,
2025-12-22,NFL,DAL @ WAS,WAS,249,29.9%,4.5%,PENDING,,
2025-12-22,NBA,HOU @ LAC,LAC,232,31.3%,4.0%,PENDING,,
2025-12-22,NBA,DAL @ NOP,NOP,-124,57.6%,4.0%,PENDING,,
2025-12-22,NBA,CHA @ CLE,CHA,523,16.7%,3.9%,LOSS,66-73,-1.00
2025-12-22,NBA,DEN @ DAL,DAL,235,31.0%,3.7%,PENDING,,
2025-12-22,NBA,OKC @ SAS,SAS,227,31.7%,3.5%,PENDING,,
2025-12-22,NCAAF,GEO @ APP,APP,221,32.2%,3.4%,PENDING,,
2025-12-22,NFL,DET @ MIN,MIN,218,32.5%,3.2%,PENDING,,
2025-12-22,NCAAF,NAV @ CIN,CIN,221,32.1%,3.1%,PENDING,,
2025-12-22,NCAAF,UNL @ OHI,OHI,215,32.7%,3.0%,PENDING,,
2025-12-22,NCAAF,USC @ TCU,TCU,203,33.9%,2.6%,LOSS,0-0,-1.00
2025-12-22,NBA,SAS @ OKC,SAS,395,20.7%,2.4%,PENDING,,
2025-12-22,NBA,DET @ POR,POR,195,34.6%,2.2%,LOSS,0-0,-1.00
2025-12-22,NFL,TAM @ MIA,MIA,198,34.3%,2.1%,PENDING,,
