game_id,game_date,season,home_team,away_team,home_pts,away_pts,home_won,home_runs_l10,away_runs_l10
778498,2025-04-01,2025,Cincinnati Reds,Texas Rangers,0,1,0,4.5,4.5
778487,2025-04-01,2025,Los Angeles Dodgers,Atlanta Braves,3,1,1,4.5,4.5
778494,2025-04-01,2025,Athletics,Chicago Cubs,4,7,0,4.5,4.5
778486,2025-04-01,2025,Seattle Mariners,Detroit Tigers,1,4,0,4.5,4.5
778489,2025-04-01,2025,Houston Astros,San Francisco Giants,1,3,0,4.5,4.5
778495,2025-04-01,2025,St. Louis Cardinals,Los Angeles Angels,7,9,0,4.5,4.5
778485,2025-04-01,2025,San Diego Padres,Cleveland Guardians,7,0,1,4.5,4.5
778490,2025-04-01,2025,Chicago White Sox,Minnesota Twins,3,8,0,4.5,4.5
778491,2025-04-01,2025,Toronto Blue Jays,Washington Nationals,5,3,1,4.5,4.5
778492,2025-04-01,2025,New York Yankees,Arizona Diamondbacks,5,7,0,4.5,4.5
778493,2025-04-01,2025,Tampa Bay Rays,Pittsburgh Pirates,7,0,1,4.5,4.5
778497,2025-04-01,2025,Miami Marlins,New York Mets,4,2,1,4.5,4.5
778488,2025-04-01,2025,Milwaukee Brewers,Kansas City Royals,5,0,1,4.5,4.5
778475,2025-04-02,2025,Houston Astros,San Francisco Giants,3,6,0,4.5,4.5
778472,2025-04-02,2025,Los Angeles Dodgers,Atlanta Braves,6,5,1,4.5,4.5
778484,2025-04-02,2025,New York Yankees,Arizona Diamondbacks,3,4,0,4.5,4.5
778482,2025-04-02,2025,Philadelphia Phillies,Colorado Rockies,5,1,1,4.5,4.5
778483,2025-04-02,2025,Baltimore Orioles,Boston Red Sox,0,3,0,4.5,4.5
778481,2025-04-02,2025,Miami Marlins,New York Mets,5,6,0,4.5,4.5
778469,2025-04-02,2025,Seattle Mariners,Detroit Tigers,3,2,1,4.5,4.5
778471,2025-04-02,2025,Athletics,Chicago Cubs,2,10,0,4.5,4.5
778478,2025-04-02,2025,Toronto Blue Jays,Washington Nationals,4,2,1,4.5,4.5
778474,2025-04-02,2025,Chicago White Sox,Minnesota Twins,1,6,0,4.5,4.5
778473,2025-04-02,2025,St. Louis Cardinals,Los Angeles Angels,12,5,1,4.5,4.5
778477,2025-04-02,2025,Milwaukee Brewers,Kansas City Royals,3,2,1,4.5,4.5
778479,2025-04-02,2025,Tampa Bay Rays,Pittsburgh Pirates,2,4,0,4.5,4.5
778480,2025-04-02,2025,Cincinnati Reds,Texas Rangers,0,1,0,4.5,4.5
778476,2025-04-02,2025,San Diego Padres,Cleveland Guardians,5,2,1,4.5,4.5
778462,2025-04-03,2025,Minnesota Twins,Houston Astros,2,5,0,4.5,4.5
778470,2025-04-03,2025,Baltimore Orioles,Boston Red Sox,4,8,0,4.5,4.5
778467,2025-04-03,2025,Philadelphia Phillies,Colorado Rockies,3,1,1,4.5,4.5
778466,2025-04-03,2025,New York Yankees,Arizona Diamondbacks,9,7,1,4.5,4.5
778468,2025-04-03,2025,Milwaukee Brewers,Cincinnati Reds,1,0,1,4.5,4.5
778464,2025-04-04,2025,Atlanta Braves,Miami Marlins,10,0,1,4.5,4.5
778455,2025-04-04,2025,Kansas City Royals,Baltimore Orioles,8,2,1,4.5,4.5
778459,2025-04-04,2025,Philadelphia Phillies,Los Angeles Dodgers,3,2,1,4.5,4.5
778453,2025-04-04,2025,Milwaukee Brewers,Cincinnati Reds,3,2,1,4.5,4.5
778447,2025-04-04,2025,Los Angeles Angels,Cleveland Guardians,6,8,0,4.5,4.5
778454,2025-04-04,2025,Texas Rangers,Tampa Bay Rays,5,2,1,4.5,4.5
778457,2025-04-04,2025,Washington Nationals,Arizona Diamondbacks,4,6,0,4.5,4.5
778458,2025-04-04,2025,Detroit Tigers,Chicago White Sox,7,4,1,4.5,4.5
778461,2025-04-04,2025,Pittsburgh Pirates,New York Yankees,4,9,0,4.5,4.5
778456,2025-04-04,2025,Colorado Rockies,Athletics,3,6,0,4.5,4.5
778465,2025-04-04,2025,New York Mets,Toronto Blue Jays,5,0,1,4.5,4.5
778460,2025-04-04,2025,Chicago Cubs,San Diego Padres,3,1,1,4.5,4.5
778463,2025-04-04,2025,Boston Red Sox,St. Louis Cardinals,13,9,1,4.5,4.5
778444,2025-04-04,2025,San Francisco Giants,Seattle Mariners,10,9,1,4.5,4.5
778437,2025-04-05,2025,Los Angeles Angels,Cleveland Guardians,10,4,1,4.5,4.5
778436,2025-04-05,2025,San Francisco Giants,Seattle Mariners,4,1,1,4.5,4.5
778442,2025-04-05,2025,Colorado Rockies,Athletics,4,7,0,4.5,4.5
778451,2025-04-05,2025,Atlanta Braves,Miami Marlins,0,4,0,4.5,4.5
778439,2025-04-05,2025,Milwaukee Brewers,Cincinnati Reds,7,11,0,4.5,4.5
778446,2025-04-05,2025,New York Mets,Toronto Blue Jays,3,2,1,4.5,4.5
778438,2025-04-05,2025,Texas Rangers,Tampa Bay Rays,6,4,1,4.5,4.5
778449,2025-04-05,2025,Pittsburgh Pirates,New York Yankees,4,10,0,4.5,4.5
778448,2025-04-05,2025,Philadelphia Phillies,Los Angeles Dodgers,1,3,0,4.5,4.5
778452,2025-04-05,2025,Washington Nationals,Arizona Diamondbacks,4,3,1,4.5,4.5
778450,2025-04-05,2025,Chicago Cubs,San Diego Padres,7,1,1,4.5,4.5
778440,2025-04-05,2025,Minnesota Twins,Houston Astros,6,1,1,4.5,4.5
778445,2025-04-05,2025,Detroit Tigers,Chicago White Sox,7,2,1,4.5,4.5
778441,2025-04-05,2025,Kansas City Royals,Baltimore Orioles,1,8,0,4.5,4.5
