game_id,game_date,season,home_team,away_team,home_pts,away_pts,home_won,home_fg_pct,away_fg_pct,home_reb,away_reb,home_ast,away_ast,home_tov,away_tov,home_pts_l10,home_opp_pts_l10,home_fg_pct_l10,home_reb_l10,home_ast_l10,home_win_l10,away_pts_l10,away_opp_pts_l10,away_fg_pct_l10,away_reb_l10,away_ast_l10,away_win_l10
0022400062,2024-10-22,2024-25,LAL,MIN,110,103,1,0.442,0.412,46,47,22,17,7,15,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400061,2024-10-22,2024-25,BOS,NYK,132,109,1,0.505,0.551,40,34,33,20,3,11,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400068,2024-10-23,2024-25,HOU,CHA,105,110,0,0.369,0.447,43,56,19,20,8,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400064,2024-10-23,2024-25,ATL,BKN,120,116,1,0.488,0.44,45,43,25,21,16,17,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400065,2024-10-23,2024-25,MIA,ORL,97,116,0,0.39,0.427,41,57,24,28,11,11,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400072,2024-10-23,2024-25,POR,GSW,104,140,0,0.391,0.516,42,57,21,38,17,17,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400070,2024-10-23,2024-25,UTA,MEM,124,126,0,0.471,0.473,49,41,21,28,14,12,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400069,2024-10-23,2024-25,NOP,CHI,123,111,1,0.464,0.488,42,47,29,26,11,21,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400067,2024-10-23,2024-25,TOR,CLE,106,136,0,0.419,0.586,38,36,25,29,18,12,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400063,2024-10-23,2024-25,DET,IND,109,115,0,0.432,0.506,38,39,22,32,12,15,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400066,2024-10-23,2024-25,PHI,MIL,109,124,0,0.418,0.538,49,46,18,27,10,14,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400071,2024-10-23,2024-25,LAC,PHX,113,116,0,0.457,0.487,51,42,27,25,21,22,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400073,2024-10-24,2024-25,WAS,BOS,102,122,0,0.432,0.467,40,49,27,21,13,14,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400076,2024-10-24,2024-25,SAC,MIN,115,117,0,0.463,0.477,38,42,21,24,9,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400075,2024-10-24,2024-25,DEN,OKC,87,102,0,0.357,0.426,57,49,29,23,15,12,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400074,2024-10-24,2024-25,DAL,SAS,120,109,1,0.412,0.453,50,52,27,30,9,19,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400080,2024-10-25,2024-25,CLE,DET,113,101,1,0.512,0.469,39,42,28,25,12,22,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400084,2024-10-25,2024-25,UTA,GSW,86,127,0,0.315,0.481,45,60,18,35,22,13,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400077,2024-10-25,2024-25,ORL,BKN,116,101,1,0.52,0.422,39,37,28,22,12,17,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400078,2024-10-25,2024-25,TOR,PHI,115,107,1,0.461,0.382,54,28,25,19,26,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400082,2024-10-25,2024-25,HOU,MEM,128,108,1,0.439,0.418,64,43,20,24,17,17,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400083,2024-10-25,2024-25,MIL,CHI,122,133,0,0.495,0.479,47,46,24,30,14,9,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400079,2024-10-25,2024-25,ATL,CHA,125,120,1,0.481,0.385,39,53,25,22,13,17,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400081,2024-10-25,2024-25,NYK,IND,123,98,1,0.524,0.494,43,33,19,28,11,15,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400085,2024-10-25,2024-25,LAL,PHX,123,116,1,0.533,0.512,37,34,33,35,12,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400086,2024-10-25,2024-25,POR,NOP,103,105,0,0.411,0.419,48,44,26,25,19,14,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400087,2024-10-26,2024-25,DEN,LAC,104,109,0,0.402,0.488,37,44,20,30,10,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400092,2024-10-26,2024-25,MEM,ORL,124,111,1,0.535,0.425,42,41,38,21,18,19,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400090,2024-10-26,2024-25,WAS,CLE,116,135,0,0.385,0.534,46,48,25,27,15,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400095,2024-10-26,2024-25,PHX,DAL,114,102,1,0.45,0.398,47,46,26,22,11,8,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400088,2024-10-26,2024-25,CHA,MIA,106,114,0,0.438,0.465,46,43,20,33,17,13,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400096,2024-10-26,2024-25,LAL,SAC,131,127,1,0.522,0.511,45,32,32,32,19,14,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400093,2024-10-26,2024-25,MIN,TOR,112,101,1,0.47,0.456,41,46,29,29,13,20,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400094,2024-10-26,2024-25,SAS,HOU,109,106,1,0.494,0.413,49,34,23,21,17,10,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400091,2024-10-26,2024-25,CHI,OKC,95,114,0,0.348,0.421,61,54,23,21,26,10,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400089,2024-10-26,2024-25,DET,BOS,118,124,0,0.489,0.422,44,37,27,19,14,10,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400101,2024-10-27,2024-25,GSW,LAC,104,112,0,0.432,0.467,47,48,19,27,21,18,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400099,2024-10-27,2024-25,POR,NOP,125,103,1,0.462,0.432,51,39,25,24,16,15,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400098,2024-10-27,2024-25,BKN,MIL,115,102,1,0.429,0.446,47,43,23,20,12,18,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400100,2024-10-27,2024-25,OKC,ATL,128,104,1,0.494,0.396,45,49,26,24,10,19,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
