game_id,game_date,season,home_team,away_team,home_pts,away_pts,home_won,home_pts_l5,home_margin_l5,away_pts_l5,away_margin_l5
401643697,2024-08-24,2024,UNM,MTST,31,35,0,28.0,0.0,28.0,0.0
401635525,2024-08-24,2024,GT,FSU,24,21,1,28.0,0.0,28.0,0.0
401643696,2024-08-25,2024,NEV,SMU,24,29,0,28.0,0.0,28.0,0.0
401643858,2024-08-25,2024,HAW,DSU,35,14,1,28.0,0.0,28.0,0.0
401628458,2024-08-29,2024,RUTG,HOW,44,7,1,28.0,0.0,28.0,0.0
401644728,2024-08-29,2024,TOL,DUQ,49,10,1,28.0,0.0,28.0,0.0
401628320,2024-08-29,2024,ARK,UAPB,70,0,1,28.0,0.0,28.0,0.0
401644730,2024-08-29,2024,CMU,CCSU,66,10,1,28.0,0.0,28.0,0.0
401644729,2024-08-29,2024,BGSU,FOR,41,17,1,28.0,0.0,28.0,0.0
401628581,2024-08-29,2024,WAKE,NCAT,45,13,1,28.0,0.0,28.0,0.0
401628582,2024-08-29,2024,UCF,UNH,57,3,1,28.0,0.0,28.0,0.0
401634299,2024-08-29,2024,NCSU,WCU,38,21,1,28.0,0.0,28.0,0.0
401644727,2024-08-29,2024,BUFF,LAF,30,13,1,28.0,0.0,28.0,0.0
401628327,2024-08-30,2024,MIZ,MUR,51,0,1,28.0,0.0,28.0,0.0
401628584,2024-08-30,2024,DUKE,ELON,26,3,1,28.0,0.0,28.0,0.0
401645319,2024-08-30,2024,ARMY,LEH,42,7,1,28.0,0.0,28.0,0.0
401628328,2024-08-30,2024,OU,TEM,51,3,1,28.0,0.0,28.0,0.0
401643698,2024-08-30,2024,SJSU,SAC,42,24,1,28.0,0.0,28.0,0.0
401654845,2024-08-30,2024,ILL,EIU,45,0,1,28.0,0.0,28.0,0.0
401636387,2024-08-30,2024,ULM,JKST,30,14,1,28.0,0.0,28.0,0.0
401628453,2024-08-30,2024,MSU,FAU,16,10,1,28.0,0.0,28.0,0.0
401645318,2024-08-30,2024,TLSA,NWST,62,28,1,28.0,0.0,28.0,0.0
401645317,2024-08-30,2024,TULN,SELA,52,0,1,28.0,0.0,28.0,0.0
401645316,2024-08-30,2024,UAB,ALCN,41,3,1,28.0,0.0,28.0,0.0
401640998,2024-08-30,2024,JVST,CCU,27,55,0,28.0,0.0,28.0,0.0
