game_id,game_date,season,home_team,away_team,home_pts,away_pts,total_pts,spread,home_won,home_fg_pct,away_fg_pct,home_fg3_pct,away_fg3_pct,home_reb,away_reb,home_ast,away_ast,home_tov,away_tov,home_pts_l10,away_pts_l10,home_opp_pts_l10,away_opp_pts_l10,home_win_l10,away_win_l10,home_fg_pct_l10,away_fg_pct_l10,home_reb_l10,away_reb_l10,home_ast_l10,away_ast_l10,home_tov_l10,away_tov_l10,pts_diff_l10,def_diff_l10,win_rate_diff,fg_pct_diff,reb_diff,ast_diff,tov_diff,combined_pts_l10,combined_def_l10
0022200001,2022-10-18,2022-23,BOS,PHI,126,117,243,9,1,0.561,0.5,0.343,0.382,36,31,24,16,10,14,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200002,2022-10-18,2022-23,GSW,LAL,123,109,232,14,1,0.455,0.426,0.356,0.25,48,48,31,23,18,21,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200008,2022-10-19,2022-23,TOR,CLE,108,105,213,3,1,0.419,0.494,0.433,0.357,41,38,19,25,13,17,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200004,2022-10-19,2022-23,IND,WAS,107,114,221,-7,0,0.402,0.457,0.357,0.355,42,53,21,21,15,16,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200012,2022-10-19,2022-23,UTA,DEN,123,102,225,21,1,0.506,0.482,0.421,0.227,43,35,27,21,19,21,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200009,2022-10-19,2022-23,MEM,NYK,115,112,227,3,1,0.389,0.404,0.34,0.243,64,54,27,28,13,12,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200007,2022-10-19,2022-23,MIA,CHI,108,116,224,-8,0,0.463,0.441,0.429,0.361,46,46,21,23,19,14,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200010,2022-10-19,2022-23,MIN,OKC,115,108,223,7,1,0.415,0.384,0.263,0.311,55,57,25,22,14,13,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200006,2022-10-19,2022-23,BKN,NOP,108,130,238,-22,0,0.449,0.49,0.303,0.462,39,61,22,31,16,12,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
0022200013,2022-10-19,2022-23,PHX,DAL,107,105,212,2,1,0.471,0.467,0.364,0.4,40,40,25,17,12,12,105.0,105.0,105.0,105.0,0.5,0.5,0.45,0.45,40.0,40.0,22.0,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0
